epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.332,2.42391,5.30805,2.02512,0.00146,0.32558,0.00252,0.00081,2.54893,5.6598,2.19148,0.0003,0.0003,0.0003
2,259.871,2.15963,4.45216,1.85442,0.00177,0.39535,0.013,0.00699,2.33557,5.12641,1.84393,0.00055862,0.00055862,0.00055862
3,386.158,2.08823,3.91802,1.75688,0.00146,0.32558,0.01857,0.01129,2.51175,5.40501,1.94387,0.00075388,0.00075388,0.00075388
4,511.626,2.11675,3.69554,1.75251,0.00182,0.40698,0.00418,0.00127,2.34344,5.04305,1.88006,0.00088578,0.00088578,0.00088578
5,640.986,2.0163,3.37533,1.66029,0.04163,0.06977,0.01122,0.00445,2.24878,4.60774,1.97519,0.00095432,0.00095432,0.00095432
6,766.878,1.95284,3.12745,1.6913,0.46789,0.19433,0.18937,0.0825,2.26532,3.84207,1.75373,0.0009595,0.0009595,0.0009595
7,906.133,1.94701,3.08249,1.58986,0.22332,0.24419,0.16867,0.08398,2.23743,4.36027,1.73238,0.000812,0.000812,0.000812
8,1044.67,1.88234,2.80342,1.55452,0.37912,0.31395,0.27774,0.1205,2.16196,3.75317,1.75584,0.000614,0.000614,0.000614
9,1169.16,1.76396,2.62095,1.49335,0.47018,0.37209,0.3625,0.16365,2.05456,3.19465,1.6518,0.000416,0.000416,0.000416
10,1308.08,1.72342,2.38292,1.43436,0.71106,0.37201,0.45938,0.21382,1.98966,2.73921,1.55316,0.000218,0.000218,0.000218
